"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-16","Afghanistan","阿富汗",21,0
"2020-03-16","Albania","阿尔巴尼亚",51,1
"2020-03-16","Algeria","阿尔及利亚",60,4
"2020-03-16","Andorra","安道尔",14,0
"2020-03-16","Antigua and Barbuda","安提瓜和巴布达",1,0
"2020-03-16","Argentina","阿根廷 ",65,2
"2020-03-16","Armenia","亚美尼亚",52,0
"2020-03-16","Australia","澳大利亚",375,5
"2020-03-16","Austria","奥地利",1132,3
"2020-03-16","Azerbaijan","阿塞拜疆",21,0
"2020-03-16","Bahrain","巴林",229,1
"2020-03-16","Bangladesh","孟加拉国",8,0
"2020-03-16","Belarus","白俄罗斯",36,0
"2020-03-16","Belgium","比利时",1085,5
"2020-03-16","Bhutan","不丹",1,0
"2020-03-16","Bolivia (Plurinational State of)","玻利维亚（多民族国）",11,0
"2020-03-16","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",19,0
"2020-03-16","Brazil","巴西",234,0
"2020-03-16","Brunei Darussalam","文莱达鲁萨兰国",50,0
"2020-03-16","Bulgaria","保加利亚",67,3
"2020-03-16","Burkina Faso","布基纳法索",15,0
"2020-03-16","Cambodia","柬埔寨",24,0
"2020-03-16","Cameroon","喀麦隆",5,0
"2020-03-16","Canada","加拿大",424,1
"2020-03-16","Cayman Islands","Cayman Islands",1,1
"2020-03-16","Central African Republic","中非共和国",1,0
"2020-03-16","Chile","智利",156,0
"2020-03-16","Colombia","哥伦比亚",45,0
"2020-03-16","Congo","刚果",1,0
"2020-03-16","Costa Rica","哥斯达黎加",41,0
"2020-03-16","Croatia","克罗地亚",49,0
"2020-03-16","Cuba","古巴",5,0
"2020-03-16","Curacao","Curacao",3,0
"2020-03-16","Cyprus","塞浦路斯",33,0
"2020-03-16","Czechia","捷克",383,0
"2020-03-16","Democratic Republic of the Congo","刚果民主共和国",3,0
"2020-03-16","Denmark","丹麦",960,4
"2020-03-16","Dominican Republic","多米尼加 ",21,1
"2020-03-16","Ecuador","厄瓜多尔",58,2
"2020-03-16","Egypt","埃及",166,4
"2020-03-16","Equatorial Guinea","赤道几内亚",1,0
"2020-03-16","Estonia","爱沙尼亚",205,0
"2020-03-16","Eswatini","斯威士兰",1,0
"2020-03-16","Ethiopia","埃塞俄比亚",5,0
"2020-03-16","Faroe Islands","Faroe Islands",47,0
"2020-03-16","Finland","芬兰",272,0
"2020-03-16","France","法国",6573,148
"2020-03-16","French Guiana","French Guiana",7,0
"2020-03-16","French Polynesia","French Polynesia",3,0
"2020-03-16","Gabon","加蓬",1,0
"2020-03-16","Georgia","格鲁吉亚",33,0
"2020-03-16","Germany","德国",6012,13
"2020-03-16","Ghana","加纳",6,0
"2020-03-16","Gibraltar","Gibraltar",3,0
"2020-03-16","Greece","希腊",331,4
"2020-03-16","Guadeloupe","Guadeloupe",18,0
"2020-03-16","Guernsey","Guernsey",1,0
"2020-03-16","Guinea","几内亚",1,0
"2020-03-16","Guyana","圭亚那",4,1
"2020-03-16","Holy See","Holy See",1,0
"2020-03-16","Honduras","洪都拉斯",8,0
"2020-03-16","Hungary","匈牙利",50,1
"2020-03-16","Iceland","冰岛",180,0
"2020-03-16","India","印度",137,3
"2020-03-16","Indonesia","印度尼西亚",172,5
"2020-03-16","International conveyance (Diamond Princess)","International conveyance (Diamond Princess)",712,7
"2020-03-16","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",14991,853
"2020-03-16","Iraq","伊拉克",124,9
"2020-03-16","Ireland","爱尔兰",223,2
"2020-03-16","Israel","以色列",304,0
"2020-03-16","Italy","意大利",27980,2158
"2020-03-16","Jamaica","牙买加",10,0
"2020-03-16","Japan","日本",829,28
"2020-03-16","Jersey","Jersey",2,0
"2020-03-16","Jordan","约旦",6,0
"2020-03-16","Kazakhstan","哈萨克斯坦",6,0
"2020-03-16","Kenya","肯尼亚",3,0
"2020-03-16","Kuwait","科威特",130,0
"2020-03-16","Latvia","拉脱维亚",36,0
"2020-03-16","Lebanon","黎巴嫩",109,3
"2020-03-16","Liechtenstein","Liechtenstein",7,0
"2020-03-16","Lithuania","立陶宛",17,0
"2020-03-16","Luxembourg","卢森堡",81,1
"2020-03-16","Malaysia","马来西亚",553,0
"2020-03-16","Maldives","马尔代夫",13,0
"2020-03-16","Malta","马耳他",30,0
"2020-03-16","Martinique","Martinique",16,0
"2020-03-16","Mauritania","毛里塔尼亚",1,0
"2020-03-16","Mayotte","Mayotte",1,0
"2020-03-16","Mexico","墨西哥",53,0
"2020-03-16","Monaco","摩纳哥",9,0
"2020-03-16","Mongolia","蒙古",4,0
"2020-03-16","Morocco","摩洛哥",38,2
"2020-03-16","Namibia","纳米比亚",2,0
"2020-03-16","Nepal","尼泊尔",1,0
"2020-03-16","Netherlands","荷兰",1413,24
"2020-03-16","New Zealand","新西兰",11,0
"2020-03-16","Nigeria","尼日利亚",2,0
"2020-03-16","North Macedonia","北马其顿",19,0
"2020-03-16","Norway","挪威",1169,3
"2020-03-16","occupied Palestinian territory","occupied Palestinian territory",39,0
"2020-03-16","Oman","阿曼",24,0
"2020-03-16","Pakistan","巴基斯坦",53,0
"2020-03-16","Panama","巴拿马",69,1
"2020-03-16","Paraguay","巴拉圭",9,0
"2020-03-16","Peru","秘鲁",86,0
"2020-03-16","Philippines","菲律宾",187,12
"2020-03-16","Poland","波兰",150,3
"2020-03-16","Portugal","葡萄牙",331,0
"2020-03-16","Puerto Rico","Puerto Rico",3,0
"2020-03-16","Qatar","卡塔尔",439,0
"2020-03-16","Republic of Korea","大韩民国",8320,81
"2020-03-16","Republic of Moldova","摩尔多瓦共和国",27,0
"2020-03-16","Réunion","Réunion",9,0
"2020-03-16","Romania","罗马尼亚",158,0
"2020-03-16","Russian Federation","俄罗斯联邦",93,0
"2020-03-16","Rwanda","卢旺达",7,0
"2020-03-16","Saint Barthelemy","Saint Barthélemy",3,0
"2020-03-16","Saint Martin","Saint Martin",2,0
"2020-03-16","Saint Vincent and the Grenadines","圣文森特和格林纳丁斯",1,0
"2020-03-16","San Marino","圣马力诺",102,9
"2020-03-16","Saudi Arabia","沙特阿拉伯",133,0
"2020-03-16","Senegal","塞内加尔",27,0
"2020-03-16","Serbia","塞尔维亚",70,0
"2020-03-16","Seychelles","塞舌尔",4,0
"2020-03-16","Singapore","新加坡",243,0
"2020-03-16","Slovakia","斯洛伐克",72,0
"2020-03-16","Slovenia","斯洛文尼亚",253,0
"2020-03-16","South Africa","南非",62,0
"2020-03-16","Spain","西班牙",9191,309
"2020-03-16","Sri Lanka","斯里兰卡",29,0
"2020-03-16","Sudan","Sudan",2,1
"2020-03-16","Sweden","瑞典",1059,3
"2020-03-16","Switzerland","瑞士",2200,14
"2020-03-16","Thailand","泰国",147,1
"2020-03-16","The United Kingdom","大不列颠及北爱尔兰联合王国",1547,55
"2020-03-16","Togo","多哥",1,0
"2020-03-16","Trinidad and Tobago","特立尼达和多巴哥",5,0
"2020-03-16","Tunisia","突尼斯",20,0
"2020-03-16","Turkey","土耳其",47,0
"2020-03-16","Ukraine","乌克兰",7,1
"2020-03-16","United Arab Emirates","阿拉伯联合酋长国",98,0
"2020-03-16","United States of America","美利坚合众国",3536,58
"2020-03-16","Venezuela (Bolivarian Republic of)","委内瑞拉(玻利瓦尔共和国)",33,0
"2020-03-16","Viet Nam","越南",61,0
"2020-03-16","Saint Lucia","圣卢西亚",2,0
"2020-03-16","Suriname","苏里南",1,0
"2020-03-16","Guatemala","危地马拉",1,1
"2020-03-16","Uruguay","乌拉圭",6,0
"2020-03-16","China","中国",81949,3325
"2020-03-16","Côte d’Ivoire","科特迪瓦",6,0
"2020-03-16","United States Virgin Islands","United States Virgin Islands",2,0
"2020-03-16","Uzbekistan","乌兹别克斯坦",4,0
"2020-03-16","Somalia","索马里",1,0
"2020-03-16","Benin","贝宁",1,0
"2020-03-16","Liberia","利比里亚",1,0
"2020-03-16","United Republic of Tanzania","坦桑尼亚联合共和国",1,0
"2020-03-16","Guam","Guam",3,0
"2020-03-16","Aruba","Aruba",2,0
"2020-03-16","Bahamas","巴哈马",1,0
